miRNA,Gene,ΔG open,Probability exact,Conservation PhyloP,miRmap score
hsa-miR-3942-3p,BDNF,67.9288,62.6383734829743,45.5221538324615,4.73537
hsa-miR-4477b,BDNF,65.9294,40.50789467529,5.82995107468072,4.80433
hsa-miR-4694-3p,BDNF,71.7332,11.4246212750784,4.23105363039889,5.12497
hsa-miR-579,BDNF,80.9947,3.88999392330037,85.4323289888063,5.25337
hsa-miR-224-3p,BDNF,66.412,11.4246212750784,4.23105363039889,5.54582
hsa-miR-200a-3p,BDNF,35.4927,2.54108432919386,75.3568059174026,5.91656
hsa-miR-3714,BDNF,28.5701,5.14633569436013,36.6721068971823,6.74558
hsa-miR-5010-3p,BDNF,64.1117,1.68143967129129,5.26889366504344,6.94465
hsa-miR-892c-5p,BDNF,65.7878,36.637565218415,45.5221538324615,7.06362
hsa-miR-4453,BDNF,11.8331,11.4961305379792,38.8627524748498,7.41023
hsa-miR-3685,BDNF,19.7157,7.60554025236504,10.5086587090442,7.44128
hsa-miR-944,BDNF,69.5716,39.3567914902041,93.6771201967147,7.69988
hsa-miR-4538,BDNF,8.2087,11.4961305379792,38.8627524748498,7.82114
hsa-miR-500b,BDNF,84.666,4.20822679488405,10.8572570237848,7.9038
hsa-miR-3910,BDNF,29.7369,5.14633569436013,36.6721068971823,7.93016
hsa-miR-373-5p,BDNF,58.2999,50.0150174873567,71.0446542154392,8.23698
hsa-miR-32-3p,BDNF,95.5769,4.84130798829643,89.5697483452541,8.76888
hsa-miR-4682,BDNF,51.9013,52.1343265063531,90.209593489681,8.85235
hsa-miR-676-3p,BDNF,45.3864,10.5803193930674,63.4230894794746,9.46117
hsa-miR-145-5p,BDNF,36.9233,10.5483017072846,71.0191354956073,9.60695
hsa-miR-4775,BDNF,84.056,44.0285002324264,89.5697483452541,9.64368
hsa-miR-4778-3p,BDNF,63.8054,2.55191179042372,38.2477303238396,9.64849
hsa-miR-2054,BDNF,69.666,5.51456231575696,86.2871929762612,9.6518
hsa-miR-5089-5p,BDNF,49.3738,45.787172695838,10.7328007569503,9.7345
hsa-miR-450b-3p,BDNF,49.2824,45.787172695838,10.7328007569503,9.81615
